Year,Link,Title,Authors,Attachment
2023,https://indico.jlab.org/event/459/contributions/11472/,Distributed Machine Learning with PanDA and iDDS in LHC ATLAS,"De Kaushik, Guan Wen, Karavakis Edward, Klimentov Alexei, Lin Fa-Hui, Maeno Tadashi, Megino Fernando Harald Barreiro, Nilsson Paul, Weber Christian, Wenaus Torre, Yang Zhaoyu, Zhang Rui, Zhao Xin, ",https://indico.jlab.org/event/459/contributions/11472/attachments/9422/13778/dml_idds_20230405%20-%20annotated%20draft%202.pptx
2023,https://indico.jlab.org/event/459/contributions/11453/,Machine learning for ambiguity resolution in ACTS,"Allaire Corentin, Grasland Hadrien, Rousseau David, Bouvet Françoise, ",https://indico.jlab.org/event/459/contributions/11453/attachments/9329/13530/Machine-learning-for-Ambiguity-Resolution-in-Acts.pdf
2023,https://indico.jlab.org/event/459/contributions/11722/,MLHad: Simulating Hadronization with Machine Learning,"Ilten Philip, Menzo Tony, Mrenna Steve, Szewc Manuel, Wilkinson Michael, Youssef Ahmed, Zupan Jure, ",https://indico.jlab.org/event/459/contributions/11722/attachments/9274/13448/MLhad%20-%20CHEP%202023.pdf
2023,https://indico.jlab.org/event/459/contributions/11715/,SYMBA: Symbolic Computation of Squared Amplitudes in High Energy Physics with Machine Learning,"Alnuqaydan Abdulhakim, Gleyzer Sergei, Prosper Harrison, ",https://indico.jlab.org/event/459/contributions/11715/attachments/9448/13700/SYMBA_CHEP23.pdf
2023,https://indico.jlab.org/event/459/contributions/11633/,Progress on cloud native solution of Machine Learning as Service for HEP,"Giommi Luca, Spiga Daniele, Kuznetsov Valentin, Bonacorsi Daniele, ",https://indico.jlab.org/event/459/contributions/11633/attachments/9263/13435/MLaaS4HEP.pdf
2023,https://indico.jlab.org/event/459/contributions/11752/,Resilient Variational Autencoder for Unsupervised Anomaly Detection at the SLAC Linac Cohrerent Light Source,"Humble Ryan, Colocho William, Darve Eric, Ratner Daniel, ",https://indico.jlab.org/event/459/contributions/11752/attachments/9432/13678/CHEP%20Resilient%20VAE%205-8-22.pdf
2023,https://indico.jlab.org/event/459/contributions/11744/,Machine Learning for Etch-Pit Identification at MoEDAL,"Hays Jonathan, Millward Lewis, Upadhyay Aman, Palodhi Kanik, ",https://indico.jlab.org/event/459/contributions/11744/attachments/9392/13622/MoEDAL_ML_CHEP_2023.pdf
2023,https://indico.jlab.org/event/459/contributions/11724/,Deep Learning for Amplitude Analysis in Spectroscopy,"Phelps William, Salgado Carlos, Quiroga Andru, Kolling Nathan, ",https://indico.jlab.org/event/459/contributions/11724/attachments/9419/13661/chep_pypwa_2023_phelps_v0.pdf
2023,https://indico.jlab.org/event/459/contributions/11798/,Development of particle flow algorithms based on Neural Network techniques for the IDEA calorimeter at future colliders,"DOnofrio Adelina, Di Micco Biagio, ",https://indico.jlab.org/event/459/contributions/11798/attachments/9413/13654/CHEP2023_ADOnofrio.pdf
2023,https://indico.jlab.org/event/459/contributions/11692/,Machine Learning for Columnar High Energy Physics Analysis,"Kauffman Elliott, Held Alexander, Shadura Oksana, ",https://indico.jlab.org/event/459/contributions/11692/attachments/9446/13696/ekauffma_chep2023_pdfversion.pdf
2023,https://indico.jlab.org/event/459/contributions/11723/,Machine learning based compression for scientific data,"Ekman Alexander, Gallén Axel, Ekman Alexander, Jawahar Pratik, Doglioni Caterina, ",https://indico.jlab.org/event/459/contributions/11723/attachments/9295/13647/Baler_v2.pdf
2023,https://indico.jlab.org/event/459/contributions/11670/,ML_INFN project: status report and future perspectives,"Anderlini Lucio, Boccali Tommaso, Dal Pra Stefano, Spiga Daniele, Duma Doina Cristina, Giommi Luca, ",https://indico.jlab.org/event/459/contributions/11670/attachments/9262/13434/The%20ML_INFN%20Initiative.pdf
2023,https://indico.jlab.org/event/459/contributions/11728/,Pion/Kaon Identification at STCF DTOF Based on Classical/Quantum Convolutional Neural Network,"Yao Zhipeng, Li Teng, HUANG Xingtao, ",https://indico.jlab.org/event/459/contributions/11728/attachments/9452/13841/QCNN-v2.pdf
2023,https://indico.jlab.org/event/459/contributions/11734/,Particle identification with machine learning in ALICE Run 3,"Kabus Maja, Jakubowska Monika, Deja Kamil, Graczykowski Łukasz, Kasak Miłosz, ",https://indico.jlab.org/event/459/contributions/11734/attachments/9290/13481/Kabus%20CHEP%20May%202023.pdf
2023,https://indico.jlab.org/event/459/contributions/11718/,Flashsim: a ML based simulation for analysis datatiers,"Vaselli Francesco, Rizzi Andrea, ",https://indico.jlab.org/event/459/contributions/11718/attachments/9544/13848/flashsim_chep.pdf
2023,https://indico.jlab.org/event/459/contributions/11762/,FastCaloGAN: a fast simulation of the ATLAS Calorimeter with GANs,"Giannelli Michele Faucci, Young Christopher, Bandieramonte Marilena, Zhang Rui, Beirer Joshua Falco, DUEHRSSEN-DEBLING Michael, DAY-HAL Henry Ann, Salamani Dalila, Sorenson Josef, Corchia Federico, Lari Tommaso, ",https://indico.jlab.org/event/459/contributions/11762/attachments/9520/13842/FastCaloGANV2%20for%20Run3.pptx
2023,https://indico.jlab.org/event/459/contributions/11387/,Online tagging and triggering with deep learning AI for next generation particle imaging detector,"Bhattacharya Meghna, Kirby Michael, ",https://indico.jlab.org/event/459/contributions/11387/attachments/9524/13813/CHEP_2023.pdf
2023,https://indico.jlab.org/event/459/contributions/12491/,Radically different futures for HEP enabled by AI/ML,"Cranmer Kyle, ",https://indico.jlab.org/event/459/contributions/12491/attachments/9561/13874/CHEP-2023.pdf
2023,https://indico.jlab.org/event/459/contributions/12492/,AI and Beyond: New Techniques for Simulation and Design in HEP,"Pedro Kevin, ",https://indico.jlab.org/event/459/contributions/12492/attachments/9428/13857/AI%20and%20beyond.pdf
2023,https://indico.jlab.org/event/459/contributions/11591/,Unbiased detection of data departures from expectations with machine learning,"Grosso Gaia, Letizia Marco, Zanetti Marco, Wulzer Andrea, ",https://indico.jlab.org/event/459/contributions/11591/attachments/9546/13850/chep23.pdf
2023,https://indico.jlab.org/event/459/contributions/11561/,Data driven background estimation in HEP using Generative Adversarial Networks,"Lohezic Victor, Sahin Özgür, Couderc Fabrice, Malclès Julie, ",https://indico.jlab.org/event/459/contributions/11561/attachments/9506/13781/VLohezic_DataDrivenBackgroundGAN.pdf
2023,https://indico.jlab.org/event/459/contributions/11416/,Machine Learning Tools for the CMS Tracker Data Quality Monitoring and Certification,"CMS Collaboration, Benelli Gabriele, ",https://indico.jlab.org/event/459/contributions/11416/attachments/9584/13910/CMS_TRKDQMML_CHEP23_GBenelli_v2.pdf
2023,https://indico.jlab.org/event/459/contributions/11374/,AI Driven Experiment Calibration and Control,"Britton Thomas, Lawrence David, Jeske Torri, McSpadden Diana, Jarvis Naomi, ",https://indico.jlab.org/event/459/contributions/11374/attachments/9497/13764/AIEC_CHEP_2023.pdf
2023,https://indico.jlab.org/event/459/contributions/11588/,Deep Learning for Matrix Element Method,"Roy Avik, Neubauer Mark, ",https://indico.jlab.org/event/459/contributions/11588/attachments/9583/13909/Deep%20Learning%20for%20the%20Matrix%20Element%20Method.pdf
2023,https://indico.jlab.org/event/459/contributions/11733/,Graph Neural Network for 3D Reconstruction in Liquid Argon Time Projection Chambers,"Hewes V, Cerati Giuseppe, Kowalkowski Jim, Aurisano Adam, Liao Wei-Keng, Lee Claire, Day Alexandra, Gumpula Kaushal, Koloskov Nikita, Koretsky Samantha, Zhang Haley, Yufei Xiao, Grzenda Daniel, Agrawal Ankit, Gray Lindsey, Klijnsma Thomas, Calafiura Paolo, Murnane Daniel, Choma Nick, Conlon Sean, Farrell Steven, Ju Xiangyang, Xu Yaoyuan, Spiropulu Maria, Vlimant Jean-Roch, ",https://indico.jlab.org/event/459/contributions/11733/attachments/9550/13855/2023-05-09%20CHEP%20talk.pdf
